iter	Passed	Remaining
0	20	2762
1	36	2412
2	58	2521
3	73	2377
4	88	2269
5	110	2349
6	134	2419
7	149	2335
8	167	2305
9	182	2244
10	198	2205
11	218	2207
12	235	2174
13	250	2133
14	264	2080
15	277	2028
16	293	2003
17	308	1974
18	324	1948
19	339	1918
20	356	1903
21	373	1886
22	390	1867
23	405	1840
24	422	1824
25	436	1794
26	449	1765
27	462	1735
28	475	1704
29	489	1681
30	504	1658
31	518	1636
32	531	1609
33	543	1582
34	555	1555
35	570	1535
36	582	1512
37	596	1490
38	610	1471
39	623	1449
40	640	1436
41	653	1416
42	666	1395
43	678	1372
44	690	1350
45	704	1331
46	715	1308
47	726	1285
48	737	1263
49	749	1243
50	759	1221
51	771	1201
52	782	1180
53	794	1162
54	805	1142
55	818	1124
56	829	1105
57	840	1086
58	850	1067
59	862	1049
60	873	1030
61	884	1012
62	898	997
63	910	981
64	923	965
65	934	948
66	946	931
67	957	915
68	968	897
69	979	881
70	991	865
71	1002	849
72	1014	833
73	1026	818
74	1037	802
75	1049	787
76	1060	771
77	1072	756
78	1083	740
79	1096	726
80	1106	710
81	1119	695
82	1130	681
83	1142	666
84	1153	651
85	1165	637
86	1176	621
87	1187	607
88	1199	593
89	1210	578
90	1221	563
91	1233	549
92	1244	535
93	1255	520
94	1267	506
95	1279	493
96	1290	478
97	1303	465
98	1316	452
99	1328	438
100	1340	424
101	1351	410
102	1362	396
103	1375	383
104	1387	370
105	1399	356
106	1411	342
107	1422	329
108	1433	315
109	1448	302
110	1459	289
111	1471	275
112	1481	262
113	1493	248
114	1504	235
115	1516	222
116	1528	209
117	1540	195
118	1553	182
119	1565	169
120	1577	156
121	1589	143
122	1601	130
123	1613	117
124	1625	104
125	1636	90
126	1649	77
127	1662	64
128	1674	51
129	1686	38
130	1698	25
131	1710	12
132	1723	0
